mode,n,cells,construct_seconds,query_seconds,assembly_seconds,measured_mesh_bytes,topology_bytes,geometry_bytes,interfaces_bytes,indexing_bytes,compatibility_bytes,boundary_bytes,index_tree_estimate,map_id_payload_estimate,checksum
native,2,16,0.000556051,0.000702554,0.001709681,2720,704,216,0,0,0,160,0,1664,26
multi_region,2,16,0.001370063,0.001209542,0.002391579,4992,1328,144,200,96,0,928,0,1664,26
materialized,2,16,0.000525301,0.000166703,0.001564661,6336,704,216,0,3096,520,160,15480,1664,26
native,4,128,0.000413312,0.006641923,0.013777669,3552,864,408,0,0,0,640,0,10752,50
multi_region,4,128,0.008737076,0.009702062,0.022407426,5808,1568,240,200,96,0,1408,0,10752,50
materialized,4,128,0.002641192,0.001332702,0.014540535,27264,864,408,0,19608,4104,640,98040,10752,50
native,8,1024,0.001213296,0.03754875,0.099746587,6176,1184,792,0,0,0,2560,0,75776,98
multi_region,8,1024,0.071869014,0.071247297,0.206224859,8400,2048,432,200,96,0,3328,0,75776,98
materialized,8,1024,0.015460397,0.008183913,0.101918064,177984,1184,792,0,139032,32776,2560,695160,75776,98
